TY,PE=FUE,L TYPE,D-1:,LEAFL,ESS A,SPEN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FU,FNUM,YYMMDD,WIND,FFMC,ISI,ROS,DMC,DC,BUI,FFC,WFC,SFC,,CFC,TFC,FWI,FFI,FT,FIRE_ID
,,,,,,,,,,,,,,,,,,,
D1,9-001,680430,15,91.6,11.5,1.8,20,26,19,.,.,.,.,0,0.25,15,135,S,RW  SANDO EXP FIRE #1 ASPEN MINN
D1,9-002,680502,28,93.5,28.7,8.8,29,39,29,.,.,.,.,0,0.25,35,660,S,RW  SANDO EXP FIRE #2 ASPEN WISC
D1,9-003,700427,28,92.5,25.2,7,26,47,26,.,.,.,.,0,0.25,31,525,S,RW  SANDO EXP FIRE #3 ASPEN WISC
D1,9-004,700506,28,90.6,19.2,1.8,20,40,20,.,.,.,.,0,0.25,23,135,S,RW  SANDO EXP FIRE #4 ASPEN MINN
D1,9-005,700508,18,88.4,8.4,1.5,24,50,24,.,.,.,.,0,0.25,14,113,S,RW  SANDO EXP FIRE #5 ASPEN MINN
D1,9-006,701019,28,87.6,12.4,2.1,8,410,15,.,.,.,.,0,0.25,15,158,S,RW  SANDO EXP FIRE #6 ASPEN MINN
D1,9-007,720513,2.7,87,3.2,0.3,23,45,23,.,.,.,.,0,0.18,6,16,S,DQ  HONDO EXP FIRE #C5 ASPEN ALTA
D1,9-008,720514,10.1,92.4,10,0.5,31,57,31,.,.,.,.,0,0.12,18,18,S,DQ  HONDO EXP FIRE #A6 ASPEN ALTA
D1,9-009,720515,9.1,91.2,8,0.5,33,62,33,.,.,.,.,0,0.12,15,18,S,DQ  HONDO EXP FIRE #B6 ASPEN ALTA
D1,9-010,720509,2.7,91.7,6.3,0.8,14,29,14,.,.,.,.,0,0.26,8,62,S,DQ  HONDO EXP FIRE #B2 ASPEN ALTA
D1,9-011,720512,8.5,91.2,7.8,0.8,23,45,23,.,.,.,.,0,0.31,12,74,S,DQ  HONDO EXP FIRE #A5 ASPEN ALTA
D1,9-012,720512,7.5,91.7,8,0.8,24,46,24,.,.,.,.,0,0.3,13,72,S,DQ  HONDO EXP FIRE #B5 ASPEN ALTA
D1,9-013,720509,6.4,91.3,7.1,0.9,14,30,14,.,.,.,.,0,0.27,9,73,S,DQ  HONDO EXP FIRE #A2 ASPEN ALTA
D1,9-014,720510,13.9,92.4,12.1,0.9,18,35,18,.,.,.,.,0,0.31,15,84,S,DQ  HONDO EXP FIRE #A3 ASPEN ALTA
D1,9-015,720510,5.3,92.4,7.9,1.4,18,35,18,.,.,.,.,0,0.51,11,214,S,DQ  HONDO EXP FIRE #C3 ASPEN ALTA
D1,9-016,720511,9.6,92.1,9.4,1.5,21,41,21,.,.,.,.,0,0.54,14,243,S,DQ  HONDO EXP FIRE #C4 ASPEN ALTA
D1,9-017,720511,11.7,92.5,11,1.6,21,41,21,.,.,.,.,0,0.56,15,269,S,DQ  HONDO EXP FIRE #A4 ASPEN ALTA
D1,9-018,720511,13.3,93.1,13,2.1,21,41,21,.,.,.,.,0,0.54,18,340,S,DQ  HONDO EXP FIRE #B4 ASPEN ALTA
D1,9-019,720510,12.8,92.5,11.6,2.5,17,35,17,.,.,.,.,0,0.51,15,383,S,DQ  HONDO EXP FIRE #B3 ASPEN ALTA
D1,9-020,690516,17,90.3,10.5,3.7,33,69,33,.,.,.,.,0,0.59,19,655,S,ADK HEART LK EXP FIRE ASPEN-W.SPR
D1,9-021,621022,14,87.1,5.9,1.6,9,26,17,.,.,.,.,0,.,8,,S,PNFI 602 EXP FIRE #1 ASPEN ONT
D1,9-022,630526,14,91.8,11.4,1.6,33,117,39,.,.,.,.,0,0.34,0,163,S,PNFI 602 EXP FIRE #2 ASPEN ONT
D1,9-023,631024,6,85.6,3.2,1.1,28,285,45,.,.,.,.,0,.,9,,S,PNFI 602 EXP FIRE #3 ASPEN ONT
D1,9-024,650521,17,89.2,9.3,2.9,13,58,16,.,.,.,.,0,0.49,12,426,S,PNFI 602 EXP FIRE #4 ASPEN ONT
D1,9-025,660526,19,87,5.3,1.6,30,117,37,.,.,.,.,0,.,12,,S,PNFI 602 EXP FIRE #5 ASPEN ONT
D1,9-026,720524,6,93.9,12.1,1,42,101,42,.,.,.,.,0,0.95,23,285,S,PNFI 621 EXP FIRE #1 ASPEN ONT
D1,9-027,760804,19,89.9,11,6.1,26,276,42,.,.,.,.,0,.,22,,S,PNFI EXP FIRE #AY-1 YOUNG ASPEN O
D1,9-028,770519,10,91.7,9,3,58,107,57,.,.,.,.,0,.,22,,S,PNFI EXP FIRE #AY-2 YOUNG ASPEN O
D1,9-029,710819,3,91,12,1.7,21,314,36,.,.,.,.,0,0.23,22,117,S,PNFI 621 EXP FIRE #1 OAK ONT
D1,9-030,720526,9,93.9,11.2,0.5,47,107,47,.,.,.,.,0,.,23,,S,PNFI 621 EXP FIRE #2 OAK ONT
D1,9-031,720525,3,93.9,12.1,1.5,42,101,42,.,.,.,.,0,.,23,,S,PNFI EXP FIRE #1 MIXEDWOOD ONT
D1,9-032,640507,22,93.4,21.5,10.5,54,102,54,.,.,.,.,0,0.98,39,308,S,GWATKIN LK WILDFIRE ASPEN ONT
D1,9-033,640506,22,91.7,10.4,10.7,48,95,48,.,.,.,.,0,.,22,,S,LAC TRAVERSE WILDFIRE ASPEN ONT
D1,9-034,670517,22,92.7,19.1,2.5,24,63,24,.,.,.,.,0,3.2,25,240,S,PERALA EXP FIRE ASPEN (PARTIAL CU
D1,9-035,830602,21,92.7,18,.,114,208,114,.,.,.,.,0,.,49,,C,ROSIE CREEK ALASKA WILDFIRE
