num,Date,ws,FFMC,ISI,ROS,DMC,DC,BUI,SFC,FWI,Fire.intensity,Fire.type,fire,CFI1,CFI2,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FMC,SH,ExpProject,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
201,19680430,15,91.6,11.5,1.8,20,26,19,0.25,15,135,S,RW  SANDO EXP FIRE #1 ASPEN MINN,0,,,1,,,,,Sando USA D1,15,,,,,,,,,,,
202,19680502,28,93.5,28.7,8.8,29,39,29,0.25,35,660,S,RW  SANDO EXP FIRE #2 ASPEN WISC,0,,,1,,,,,Sando USA D1,16,,,,,,,,,,,
203,19700427,28,92.5,25.2,7,26,47,26,0.25,31,525,S,RW  SANDO EXP FIRE #3 ASPEN WISC,0,,,1,,,,,Sando USA D1,16,,,,,,,,,,,
204,19700506,28,90.6,19.2,1.8,20,40,20,0.25,23,135,S,RW  SANDO EXP FIRE #4 ASPEN MINN,0,,,1,,,,,Sando USA D1,15,,,,,,,,,,,
205,19700508,18,88.4,8.4,1.5,24,50,24,0.25,14,113,S,RW  SANDO EXP FIRE #5 ASPEN MINN,0,,,1,,,,,Sando USA D1,15,,,,,,,,,,,
206,19701019,28,87.6,12.4,2.1,8,410,15,0.25,15,158,S,RW  SANDO EXP FIRE #6 ASPEN MINN,0,,,3,,,,,Sando USA D1,15,,,,,,,,,,,
207,19720513,2.7,87,3.2,0.3,23,45,23,0.18,6,16,S,DQ  HONDO EXP FIRE #C5 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
208,19720514,10.1,92.4,10,0.5,31,57,31,0.12,18,18,S,DQ  HONDO EXP FIRE #A6 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
209,19720515,9.1,91.2,8,0.5,33,62,33,0.12,15,18,S,DQ  HONDO EXP FIRE #B6 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
210,19720509,2.7,91.7,6.3,0.8,14,29,14,0.26,8,62,S,DQ  HONDO EXP FIRE #B2 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
211,19720512,8.5,91.2,7.8,0.8,23,45,23,0.31,12,74,S,DQ  HONDO EXP FIRE #A5 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
212,19720512,7.5,91.7,8,0.8,24,46,24,0.3,13,72,S,DQ  HONDO EXP FIRE #B5 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
213,19720509,6.4,91.3,7.1,0.9,14,30,14,0.27,9,73,S,DQ  HONDO EXP FIRE #A2 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
214,19720510,13.9,92.4,12.1,0.9,18,35,18,0.31,15,84,S,DQ  HONDO EXP FIRE #A3 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
215,19720510,5.3,92.4,7.9,1.4,18,35,18,0.51,11,214,S,DQ  HONDO EXP FIRE #C3 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
216,19720511,9.6,92.1,9.4,1.5,21,41,21,0.54,14,243,S,DQ  HONDO EXP FIRE #C4 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
217,19720511,11.7,92.5,11,1.6,21,41,21,0.56,15,269,S,DQ  HONDO EXP FIRE #A4 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
218,19720511,13.3,93.1,13,2.1,21,41,21,0.54,18,340,S,DQ  HONDO EXP FIRE #B4 ASPEN ALTA,0,,,1,,,,,Hondo D1,17,,,,,,,,,,,
